Dechets,Recyclage,Date
1,1,21/11/2021
1,0,28/11/2021
1,1,05/12/2021
1,0,12/12/2021
1,1,19/12/2021
1,0,26/12/2021
1,1,02/01/2022
1,0,9/1/2022
1,1,16/01/2022
1,0,23/01/2022
1,1,30/1/2022
1,0,06/02/2022
1,1,13/2/2022
1,0,20/02/2022
1,1,27/2/2022
1,0,06/03/2022
1,1,13/3/2022
1,0,20/03/2022
1,1,27/03/2022
1,0,3/4/2022
1,1,10/04/2022
1,0,17/4/2022
1,1,24/04/2022
1,0,1/5/2022
1,1,08/05/2022
1,0,15/5/2022
1,1,22/05/2022
1,0,29/05/2022
1,1,5/6/2022
1,0,12/06/2022
1,1,19/6/2022
1,0,26/06/2022
1,1,3/7/2022
1,0,10/07/2022
1,1,17/7/2022
1,0,24/07/2022
1,1,31/07/2022
1,0,7/8/2022
1,1,14/08/2022
1,0,21/8/2022
1,1,28/08/2022
1,0,4/9/2022
1,1,11/09/2022
1,0,18/9/2022
1,1,25/09/2022
1,0,02/10/2022
1,1,9/10/2022
1,0,16/10/2022
1,1,23/10/2022
1,0,30/10/2022
1,1,6/11/2022
1,0,13/11/2022
1,1,20/11/2022
1,0,27/11/2022
1,1,04/12/2022
1,0,11/12/2022
1,1,18/12/2022
1,0,25/12/2022
1,1,01/01/2023
1,0,8/1/2023
1,1,15/01/2023
1,0,22/1/2023
1,1,29/01/2023
1,0,05/02/2023
1,1,12/2/2023
1,0,19/02/2023
1,1,26/2/2023
1,0,05/03/2023
1,1,12/3/2023
1,0,19/03/2023
1,1,26/3/2023
1,0,02/04/2023
1,1,09/04/2023
1,0,16/4/2023
1,1,23/04/2023
1,0,30/4/2023
1,1,07/05/2023
1,0,14/5/2023
1,1,21/05/2023
1,0,28/5/2023
1,1,04/06/2023
1,0,11/06/2023
1,1,18/6/2023
1,0,25/06/2023
1,1,2/7/2023
1,0,09/07/2023
1,1,16/7/2023
1,0,23/07/2023
1,1,30/7/2023
1,0,06/08/2023
1,1,13/08/2023
1,0,20/8/2023
1,1,27/08/2023
1,0,3/9/2023
1,1,10/09/2023
1,0,17/9/2023
1,1,24/09/2023
1,0,1/10/2023
1,1,08/10/2023
